Sales Person,Geography,Product,Date,Sales,Boxes
Mallorie Waber,UK,70% Dark Bites,31-03-2023,"$4,628 ",293
Oby Sorrel,Canada   ,Almond Choco,23-02-2024,"$10,694 ",182
Brien Boise,USA,White Choc,05-12-2023,$900 ,617
Jehu Rudeforth,India ,70% Dark Bites,27-11-2023,"$4,138 ",310
Camilla Castle,Australia ,Raspberry Choco,14-04-2023,"$10,888 ",661
Dotty Strutley,USA,Spicy Special Slims,28-09-2023,"$12,830 ",66
Van Tuxwell,Canada  ,Raspberry Choco,22-02-2024,"$6,030 ",1316
Barr Faughny,Australia  ,Smooth Silky Salty,17-10-2023,"$2,171 ",112
Rafaelita Blaksland,UK  ,Milk Bars,13-03-2023,"$10,985 ",45
Jehu Rudeforth,New Zealand ,Peanut Butter Cubes,12-01-2024,"$9,432 ",771
Roddy Speechley,Canada,85% Dark Bars,07-02-2024,"$7,270 ",150
Madelene Upcott,Australia ,Almond Choco,17-07-2023,"$4,903 ",421
Gunar Cockshoot,Canada,Mint Chip Choco,01-09-2023,"$1,289 ",107
Rafaelita Blaksland,Australia,Orange Choco,19-10-2023,"$2,824 ",797
Gigi Bohling,India,99% Dark & Pure,21-02-2024,"$10,148 ",28
Marney O'Breen,Canada ,Peanut Butter Cubes,02-01-2024,"$10,103 ",501
Camilla Castle,Canada,Eclairs,17-02-2023,"$8,928 ",231
Karlen McCaffrey,India  ,50% Dark Bites,03-01-2024,"$3,071 ",263
Mallorie Waber,India,Fruit & Nut Bars,09-02-2023,"$4,707 ",521
Jehu Rudeforth,Australia,Orange Choco,01-08-2023,"$13,937 ",250
Oby Sorrel,UK  ,Spicy Special Slims,11-04-2023,"$2,624 ",175
Brien Boise,Canada ,Spicy Special Slims,07-03-2023,"$4,721 ",93
Mallorie Waber,Canada ,Milk Bars,29-06-2023,"$10,244 ",31
Camilla Castle,India ,Smooth Silky Salty,23-05-2023,"$7,945 ",696
Husein Augar,India ,Manuka Honey Choco,05-10-2023,"$14,983 ",312
Gigi Bohling,India  ,Spicy Special Slims,12-01-2024,"$4,196 ",110
Marney O'Breen,USA,Milk Bars,16-03-2023,$79 ,236
Camilla Castle,Canada ,Mint Chip Choco,21-02-2023,"$3,899 ",11
Kaine Padly,Australia,Orange Choco,23-01-2024,"$15,710 ",243
Oby Sorrel,India,85% Dark Bars,12-07-2023,"$9,821 ",167
Kaine Padly,USA,Milk Bars,09-08-2023,"$5,182 ",134
Roddy Speechley,UK ,Almond Choco,10-08-2023,"$3,350 ",256
Brien Boise,New Zealand ,50% Dark Bites,22-08-2023,"$5,094 ",329
Karlen McCaffrey,India,Orange Choco,17-04-2023,"$9,612 ",328
Karlen McCaffrey,USA  ,Peanut Butter Cubes,07-06-2023,"$7,470 ",860
Karlen McCaffrey,New Zealand ,Fruit & Nut Bars,15-05-2023,"$5,666 ",104
Karlen McCaffrey,New Zealand ,Choco Coated Almonds,29-06-2023,"$9,115 ",218
Husein Augar,Canada,Baker's Choco Chips,19-01-2024,"$9,731 ",28
Dotty Strutley,Canada ,70% Dark Bites,02-02-2023,"$7,171 ",13
Dennison Crosswaite,Australia   ,Organic Choco Syrup,02-05-2023,"$6,323 ",74
Barr Faughny,Australia,Manuka Honey Choco,10-01-2024,"$3,393 ",78
Dotty Strutley,Australia,Choco Coated Almonds,29-09-2023,"$5,290 ",153
Wilone O'Kielt,USA  ,Organic Choco Syrup,24-10-2023,"$8,017 ",415
Van Tuxwell,Canada  ,Choco Coated Almonds,23-05-2023,"$4,174 ",801
Roddy Speechley,UK ,Drinking Coco,22-08-2023,"$2,849 ",498
Madelene Upcott,New Zealand  ,Spicy Special Slims,12-05-2023,"$4,001 ",180
Jan Morforth,New Zealand  ,Fruit & Nut Bars,27-02-2023,"$4,653 ",961
Gigi Bohling,UK ,Caramel Stuffed Bars,17-04-2023,"$12,395 ",439
Camilla Castle,USA  ,Eclairs,04-12-2023,"$9,572 ",87
Kelci Walkden,New Zealand ,50% Dark Bites,30-10-2023,"$4,813 ",1161
Gunar Cockshoot,USA   ,After Nines,25-09-2023,"$6,048 ",168
Curtice Advani,Canada,Milk Bars,04-04-2023,"$2,351 ",131
Rafaelita Blaksland,Australia   ,Almond Choco,25-10-2023,"$4,745 ",432
Roddy Speechley,Australia  ,Peanut Butter Cubes,29-11-2023,"$5,603 ",387
Dennison Crosswaite,USA ,70% Dark Bites,13-07-2023,"$3,992 ",497
Madelene Upcott,USA  ,Organic Choco Syrup,16-01-2024,"$1,870 ",121
Ches Bonnell,UK  ,Eclairs,28-09-2023,"$1,782 ",23
Camilla Castle,Australia,Organic Choco Syrup,11-07-2023,"$1,674 ",303
Dotty Strutley,New Zealand  ,Peanut Butter Cubes,02-10-2023,"$5,553 ",275
Dotty Strutley,New Zealand,Organic Choco Syrup,10-08-2023,"$11,691 ",7
Husein Augar,New Zealand ,Choco Coated Almonds,09-03-2023,"$9,452 ",588
Barr Faughny,India  ,Fruit & Nut Bars,06-07-2023,"$7,601 ",1471
Husein Augar,Australia ,After Nines,02-10-2023,"$3,645 ",46
Wilone O'Kielt,India ,Fruit & Nut Bars,29-09-2023,"$2,059 ",1039
Camilla Castle,New Zealand  ,Peanut Butter Cubes,13-04-2023,"$4,919 ",670
Brien Boise,Australia  ,Smooth Silky Salty,01-05-2023,"$4,329 ",626
Curtice Advani,New Zealand,99% Dark & Pure,23-06-2023,"$11,972 ",203
Oby Sorrel,Canada ,Raspberry Choco,16-01-2024,"$3,517 ",22
Barr Faughny,UK,Spicy Special Slims,22-12-2023,"$12,735 ",201
Jehu Rudeforth,Canada,Drinking Coco,09-02-2023,"$3,593 ",694
Van Tuxwell,Australia  ,70% Dark Bites,21-07-2023,"$4,959 ",117
Marney O'Breen,Canada  ,Baker's Choco Chips,16-06-2023,"$5,087 ",365
Oby Sorrel,Canada,Eclairs,20-03-2023,"$1,305 ",448
Beverie Moffet,Canada  ,Smooth Silky Salty,19-10-2023,"$4,514 ",34
Wilone O'Kielt,India,99% Dark & Pure,07-09-2023,"$13,786 ",52
Jan Morforth,New Zealand,Drinking Coco,04-12-2023,"$2,547 ",169
Gunar Cockshoot,Canada   ,Smooth Silky Salty,14-08-2023,"$7,790 ",410
Oby Sorrel,Australia  ,Manuka Honey Choco,25-05-2023,"$5,632 ",136
Curtice Advani,UK   ,99% Dark & Pure,03-02-2023,"$9,493 ",82
Camilla Castle,UK   ,Choco Coated Almonds,08-09-2023,"$7,439 ",82
Brien Boise,Canada   ,Smooth Silky Salty,01-12-2023,"$7,342 ",425
Rafaelita Blaksland,Canada   ,Orange Choco,06-04-2023,"$1,643 ",756
Dennison Crosswaite,USA   ,Raspberry Choco,07-04-2023,"$6,575 ",189
Rafaelita Blaksland,Canada   ,White Choc,11-07-2023,"$5,679 ",341
Beverie Moffet,New Zealand   ,99% Dark & Pure,20-03-2023,"$8,163 ",405
Curtice Advani,UK  ,85% Dark Bars,09-02-2023,"$3,629 ",499
Andria Kimpton,USA   ,Eclairs,19-06-2023,"$1,899 ",5
Husein Augar,New Zealand,Caramel Stuffed Bars,31-08-2023,"$3,105 ",13
Dennison Crosswaite,New Zealand  ,After Nines,13-02-2023,"$3,951 ",252
Roddy Speechley,Australia ,Organic Choco Syrup,06-04-2023,"$21,465 ",134
Wilone O'Kielt,India ,Spicy Special Slims,18-07-2023,"$1,728 ",107
Kaine Padly,UK  ,Drinking Coco,27-07-2023,"$5,060 ",67
Jan Morforth,USA   ,Peanut Butter Cubes,31-10-2023,"$10,436 ",217
Ches Bonnell,UK,85% Dark Bars,08-12-2023,"$6,842 ",591
Andria Kimpton,Canada  ,Baker's Choco Chips,18-01-2024,"$4,473 ",285
Gigi Bohling,Australia ,70% Dark Bites,13-07-2023,"$9,765 ",26
Mallorie Waber,Australia,Milk Bars,21-07-2023,"$1,343 ",454
Madelene Upcott,India,70% Dark Bites,02-01-2024,"$5,533 ",499
Oby Sorrel,USA,Raspberry Choco,13-12-2023,"$2,471 ",245
Dennison Crosswaite,UK,Milk Bars,26-12-2023,"$2,684 ",132
Karlen McCaffrey,UK,Manuka Honey Choco,09-10-2023,"$2,648 ",292
Gunar Cockshoot,India ,Orange Choco,17-03-2023,"$6,302 ",82
Oby Sorrel,Australia ,Almond Choco,04-05-2023,"$3,407 ",202
Beverie Moffet,UK,85% Dark Bars,13-07-2023,"$4,498 ",29
Van Tuxwell,Australia,Smooth Silky Salty,26-07-2023,"$4,838 ",126
Husein Augar,USA ,Organic Choco Syrup,01-02-2023,"$11,185 ",742
Rafaelita Blaksland,Canada   ,Mint Chip Choco,10-08-2023,$790 ,269
Beverie Moffet,USA ,Caramel Stuffed Bars,31-01-2024,"$15,109 ",1015
Andria Kimpton,India   ,After Nines,26-07-2023,"$6,863 ",378
Dennison Crosswaite,India   ,50% Dark Bites,08-05-2023,"$5,787 ",1174
Ches Bonnell,New Zealand ,Caramel Stuffed Bars,21-08-2023,"$6,779 ",751
Brien Boise,Australia ,Choco Coated Almonds,03-08-2023,"$9,189 ",203
Gigi Bohling,Canada  ,Peanut Butter Cubes,22-02-2024,"$9,484 ",651
Barr Faughny,UK,70% Dark Bites,13-10-2023,"$4,642 ",228
Camilla Castle,USA,99% Dark & Pure,24-05-2023,"$9,392 ",298
Andria Kimpton,Canada   ,Drinking Coco,19-04-2023,"$5,006 ",30
Mallorie Waber,India,Drinking Coco,04-08-2023,"$4,577 ",471
Barr Faughny,Canada   ,Baker's Choco Chips,29-01-2024,"$7,297 ",417
Gunar Cockshoot,New Zealand,Spicy Special Slims,04-12-2023,"$5,378 ",126
Marney O'Breen,Canada  ,70% Dark Bites,23-01-2024,$887 ,47
Gigi Bohling,Australia  ,Choco Coated Almonds,11-08-2023,"$7,412 ",804
Jan Morforth,India  ,99% Dark & Pure,07-09-2023,"$12,346 ",764
Dennison Crosswaite,UK  ,Eclairs,27-07-2023,"$6,813 ",351
Karlen McCaffrey,UK   ,Raspberry Choco,30-03-2023,"$8,087 ",193
Van Tuxwell,New Zealand ,Caramel Stuffed Bars,13-02-2024,"$7,418 ",41
Beverie Moffet,New Zealand,Manuka Honey Choco,26-04-2023,"$3,645 ",9
Dotty Strutley,UK ,Mint Chip Choco,07-03-2023,"$2,912 ",124
Kaine Padly,USA ,Caramel Stuffed Bars,18-07-2023,"$11,543 ",1324
Husein Augar,India ,Caramel Stuffed Bars,30-10-2023,"$3,596 ",588
Husein Augar,Australia ,Choco Coated Almonds,25-05-2023,"$3,915 ",516
Rafaelita Blaksland,Canada   ,70% Dark Bites,17-07-2023,"$9,065 ",255
Brien Boise,Canada  ,Baker's Choco Chips,24-08-2023,"$6,892 ",171
Mallorie Waber,Canada ,Almond Choco,27-10-2023,"$3,467 ",174
Van Tuxwell,India   ,Caramel Stuffed Bars,09-02-2023,"$10,055 ",202
Husein Augar,Canada  ,White Choc,09-03-2023,"$5,762 ",104
Oby Sorrel,New Zealand  ,Peanut Butter Cubes,26-07-2023,"$8,678 ",82
Van Tuxwell,UK   ,Raspberry Choco,19-10-2023,"$2,779 ",425
Oby Sorrel,New Zealand,Orange Choco,15-03-2023,"$14,531 ",81
Curtice Advani,Canada   ,Orange Choco,27-04-2023,"$5,459 ",552
Dotty Strutley,USA  ,Peanut Butter Cubes,24-07-2023,"$4,804 ",41
Karlen McCaffrey,New Zealand  ,Peanut Butter Cubes,25-10-2023,"$9,497 ",717
Jan Morforth,New Zealand,Almond Choco,05-02-2024,$605 ,630
Karlen McCaffrey,Canada   ,After Nines,25-04-2023,"$6,653 ",353
Dennison Crosswaite,India ,White Choc,22-05-2023,"$9,524 ",475
Marney O'Breen,UK ,Smooth Silky Salty,24-11-2023,"$4,358 ",1163
Curtice Advani,Australia  ,50% Dark Bites,22-01-2024,"$7,371 ",407
Wilone O'Kielt,Australia,Spicy Special Slims,14-06-2023,"$4,892 ",28
Husein Augar,Australia   ,50% Dark Bites,10-07-2023,"$6,998 ",1719
Madelene Upcott,USA  ,70% Dark Bites,22-09-2023,"$3,870 ",25
Van Tuxwell,UK   ,Spicy Special Slims,28-11-2023,"$7,679 ",247
Oby Sorrel,India  ,White Choc,20-06-2023,"$1,166 ",41
Kaine Padly,Australia   ,Smooth Silky Salty,19-02-2024,"$1,386 ",193
Jan Morforth,Canada,99% Dark & Pure,09-08-2023,"$7,495 ",188
Dennison Crosswaite,USA   ,Almond Choco,13-07-2023,"$2,086 ",134
Mallorie Waber,India   ,Raspberry Choco,12-12-2023,"$5,198 ",1718
Karlen McCaffrey,USA ,Mint Chip Choco,06-09-2023,"$9,934 ",98
Roddy Speechley,India ,Smooth Silky Salty,29-08-2023,"$1,789 ",299
Kaine Padly,New Zealand  ,Peanut Butter Cubes,07-02-2024,"$6,451 ",110
Jehu Rudeforth,New Zealand  ,Fruit & Nut Bars,08-03-2023,"$9,972 ",90
Jehu Rudeforth,UK   ,70% Dark Bites,03-05-2023,$756 ,162
Curtice Advani,UK ,Baker's Choco Chips,11-12-2023,$551 ,577
Brien Boise,Canada  ,70% Dark Bites,15-05-2023,"$1,553 ",181
Gunar Cockshoot,UK   ,Baker's Choco Chips,12-10-2023,"$11,781 ",19
Jan Morforth,India   ,Almond Choco,28-09-2023,"$4,327 ",271
Karlen McCaffrey,UK   ,70% Dark Bites,14-04-2023,$628 ,319
Andria Kimpton,Australia,Manuka Honey Choco,08-02-2023,"$12,668 ",45
Mallorie Waber,Canada  ,Smooth Silky Salty,24-02-2023,$596 ,608
Kelci Walkden,India  ,Orange Choco,25-12-2023,"$19,683 ",155
Kaine Padly,UK ,Almond Choco,23-06-2023,"$3,665 ",544
Madelene Upcott,UK   ,Caramel Stuffed Bars,14-12-2023,"$5,375 ",500
Wilone O'Kielt,New Zealand  ,Manuka Honey Choco,08-02-2023,"$11,567 ",13
Ches Bonnell,India,Fruit & Nut Bars,26-07-2023,"$11,126 ",57
Oby Sorrel,India   ,Peanut Butter Cubes,19-10-2023,"$4,754 ",1168
Curtice Advani,New Zealand   ,Manuka Honey Choco,22-08-2023,"$1,526 ",259
Karlen McCaffrey,Australia  ,99% Dark & Pure,03-01-2024,"$8,190 ",173
Wilone O'Kielt,USA,85% Dark Bars,04-05-2023,"$9,394 ",645
Jehu Rudeforth,USA,Organic Choco Syrup,14-04-2023,"$4,075 ",973
Mallorie Waber,Canada,Peanut Butter Cubes,24-01-2024,"$11,597 ",1077
Wilone O'Kielt,UK   ,Manuka Honey Choco,16-06-2023,"$6,901 ",442
Rafaelita Blaksland,UK ,Organic Choco Syrup,14-07-2023,"$8,917 ",402
Andria Kimpton,UK ,Orange Choco,20-06-2023,"$1,652 ",174
Gigi Bohling,India,Peanut Butter Cubes,22-01-2024,"$7,697 ",1113
Beverie Moffet,USA  ,Manuka Honey Choco,11-12-2023,"$2,608 ",95
Kaine Padly,UK,Fruit & Nut Bars,07-12-2023,"$7,763 ",1141
Gigi Bohling,Australia  ,Raspberry Choco,30-03-2023,"$9,275 ",1
Dotty Strutley,India   ,Drinking Coco,14-02-2024,"$5,369 ",457
Madelene Upcott,New Zealand  ,Organic Choco Syrup,15-09-2023,"$7,751 ",21
Husein Augar,UK ,After Nines,23-11-2023,"$8,388 ",294
Curtice Advani,India,Milk Bars,31-10-2023,"$9,468 ",1
Husein Augar,India ,Choco Coated Almonds,28-03-2023,"$14,699 ",312
Jan Morforth,New Zealand   ,Caramel Stuffed Bars,30-10-2023,"$7,106 ",310
Dennison Crosswaite,Australia  ,85% Dark Bars,16-03-2023,"$10,676 ",940
Van Tuxwell,New Zealand  ,After Nines,07-11-2023,"$7,022 ",609
Kelci Walkden,Australia  ,Organic Choco Syrup,11-10-2023,"$10,008 ",362
Oby Sorrel,New Zealand  ,Smooth Silky Salty,06-04-2023,"$4,910 ",915
Dennison Crosswaite,New Zealand   ,Spicy Special Slims,13-07-2023,"$8,901 ",364
Dennison Crosswaite,USA ,White Choc,04-09-2023,"$3,690 ",758
Curtice Advani,USA   ,70% Dark Bites,17-08-2023,"$5,186 ",585
Rafaelita Blaksland,USA  ,Spicy Special Slims,11-12-2023,"$1,584 ",333
Gunar Cockshoot,USA  ,85% Dark Bars,02-06-2023,"$6,975 ",605
Beverie Moffet,Australia,Organic Choco Syrup,13-06-2023,"$5,252 ",271
Curtice Advani,USA ,Choco Coated Almonds,17-04-2023,"$4,068 ",458
Roddy Speechley,UK   ,White Choc,23-03-2023,$873 ,572
Kaine Padly,Canada ,Smooth Silky Salty,13-03-2023,"$8,170 ",652
Mallorie Waber,UK  ,Mint Chip Choco,23-01-2024,"$1,078 ",299
Dennison Crosswaite,USA,Orange Choco,03-08-2023,"$1,863 ",173
Gunar Cockshoot,Australia ,Peanut Butter Cubes,05-06-2023,"$7,992 ",724
Oby Sorrel,Australia ,Peanut Butter Cubes,03-01-2024,"$11,207 ",213
Oby Sorrel,New Zealand  ,Eclairs,16-10-2023,"$2,068 ",122
Madelene Upcott,New Zealand   ,Smooth Silky Salty,19-10-2023,"$5,940 ",975
Ches Bonnell,USA,Caramel Stuffed Bars,06-02-2023,"$7,218 ",254
Kelci Walkden,Australia   ,99% Dark & Pure,31-07-2023,"$6,325 ",545
Karlen McCaffrey,UK,Drinking Coco,20-04-2023,"$4,838 ",110
Barr Faughny,New Zealand ,Organic Choco Syrup,10-10-2023,"$4,691 ",963
Beverie Moffet,UK,Drinking Coco,13-06-2023,"$5,634 ",546
Andria Kimpton,India ,Baker's Choco Chips,24-11-2023,"$10,679 ",13
Marney O'Breen,UK   ,Fruit & Nut Bars,09-06-2023,"$5,747 ",131
Gunar Cockshoot,New Zealand  ,Mint Chip Choco,10-11-2023,"$1,157 ",82
Dennison Crosswaite,New Zealand,Smooth Silky Salty,08-02-2023,"$2,273 ",110
Van Tuxwell,New Zealand,70% Dark Bites,20-12-2023,"$11,392 ",114
Jan Morforth,UK,Caramel Stuffed Bars,20-02-2024,"$1,697 ",148
Roddy Speechley,India   ,50% Dark Bites,13-11-2023,$347 ,632
Gunar Cockshoot,UK  ,Raspberry Choco,15-12-2023,"$1,703 ",399
Gunar Cockshoot,UK ,85% Dark Bars,26-10-2023,"$1,127 ",250
Gigi Bohling,USA ,Spicy Special Slims,10-10-2023,$470 ,32
Wilone O'Kielt,Australia ,Baker's Choco Chips,12-05-2023,$797 ,264
Curtice Advani,USA  ,Milk Bars,07-09-2023,"$3,103 ",24
Gunar Cockshoot,Australia   ,Raspberry Choco,02-08-2023,$554 ,796
Oby Sorrel,Canada  ,After Nines,09-11-2023,"$4,766 ",729
Marney O'Breen,India ,Mint Chip Choco,09-05-2023,$981 ,527
Andria Kimpton,UK  ,Peanut Butter Cubes,28-07-2023,"$10,409 ",658
Roddy Speechley,New Zealand   ,Peanut Butter Cubes,11-10-2023,"$6,570 ",474
Gigi Bohling,USA,Orange Choco,29-05-2023,"$5,627 ",280
Marney O'Breen,UK   ,Organic Choco Syrup,11-10-2023,"$6,953 ",262
Van Tuxwell,USA  ,Eclairs,28-06-2023,"$7,346 ",34
Oby Sorrel,Canada   ,Drinking Coco,01-06-2023,"$5,081 ",688
Barr Faughny,UK ,After Nines,24-10-2023,"$4,406 ",621
Husein Augar,Canada  ,Almond Choco,18-01-2024,"$3,886 ",515
Brien Boise,UK  ,Smooth Silky Salty,26-12-2023,"$3,053 ",43
Gunar Cockshoot,Australia,Milk Bars,05-06-2023,"$5,373 ",121
Oby Sorrel,New Zealand ,Drinking Coco,14-02-2024,"$5,459 ",96
Ches Bonnell,Australia   ,Mint Chip Choco,24-05-2023,"$1,568 ",419
Karlen McCaffrey,UK  ,White Choc,21-09-2023,"$2,516 ",95
Ches Bonnell,New Zealand ,Spicy Special Slims,28-03-2023,"$2,252 ",207
Kaine Padly,India   ,Manuka Honey Choco,11-05-2023,"$4,082 ",37
Barr Faughny,India ,50% Dark Bites,13-11-2023,"$2,500 ",548
Gigi Bohling,New Zealand   ,Organic Choco Syrup,22-12-2023,"$3,465 ",132
Jan Morforth,UK ,Orange Choco,09-10-2023,"$5,585 ",184
Ches Bonnell,UK ,Raspberry Choco,13-12-2023,"$2,500 ",730
Oby Sorrel,Canada ,Caramel Stuffed Bars,23-02-2023,$261 ,294
Karlen McCaffrey,UK  ,After Nines,15-03-2023,"$11,178 ",493
Barr Faughny,Australia  ,Peanut Butter Cubes,06-11-2023,"$10,127 ",311
Kaine Padly,India ,White Choc,04-10-2023,"$7,540 ",208
Beverie Moffet,Australia   ,Fruit & Nut Bars,23-02-2023,"$2,601 ",718
Mallorie Waber,New Zealand ,Smooth Silky Salty,15-12-2023,"$8,411 ",438
Dennison Crosswaite,Australia ,White Choc,13-10-2023,"$3,863 ",114
Marney O'Breen,New Zealand  ,Organic Choco Syrup,12-07-2023,"$8,192 ",462
Jan Morforth,USA ,Manuka Honey Choco,29-02-2024,$306 ,196
Barr Faughny,Canada   ,Choco Coated Almonds,13-09-2023,"$1,512 ",282
Dotty Strutley,UK ,Smooth Silky Salty,06-02-2023,"$2,383 ",140
Karlen McCaffrey,USA  ,Organic Choco Syrup,26-02-2024,"$6,005 ",182
Ches Bonnell,USA ,85% Dark Bars,09-02-2023,"$6,350 ",345
Curtice Advani,Canada,70% Dark Bites,24-02-2023,"$2,482 ",81
Gunar Cockshoot,India ,Fruit & Nut Bars,22-09-2023,$263 ,145
Dotty Strutley,Australia ,Fruit & Nut Bars,13-03-2023,"$2,473 ",180
Gunar Cockshoot,UK   ,70% Dark Bites,29-08-2023,$729 ,132
Ches Bonnell,New Zealand   ,Raspberry Choco,21-02-2023,"$2,763 ",152
Camilla Castle,New Zealand  ,After Nines,06-10-2023,"$8,134 ",270
Camilla Castle,USA,Drinking Coco,02-01-2024,"$5,238 ",553
Madelene Upcott,USA   ,Almond Choco,25-04-2023,"$3,470 ",332
Brien Boise,New Zealand ,Choco Coated Almonds,30-05-2023,$7 ,273
Roddy Speechley,Australia,50% Dark Bites,28-09-2023,"$6,289 ",88
Ches Bonnell,India ,Choco Coated Almonds,14-12-2023,"$2,439 ",438
Dotty Strutley,UK ,Baker's Choco Chips,08-09-2023,"$9,036 ",287
Rafaelita Blaksland,New Zealand ,After Nines,28-11-2023,"$8,228 ",355
Dennison Crosswaite,Australia   ,Almond Choco,19-07-2023,"$1,402 ",651
Van Tuxwell,Canada,Smooth Silky Salty,12-12-2023,"$6,757 ",427
Brien Boise,USA,70% Dark Bites,07-03-2023,$891 ,20
Van Tuxwell,Canada ,Mint Chip Choco,13-07-2023,"$3,411 ",8
Madelene Upcott,Australia ,50% Dark Bites,23-11-2023,"$6,152 ",1000
Kaine Padly,New Zealand   ,Manuka Honey Choco,14-12-2023,"$2,684 ",141
Madelene Upcott,New Zealand,Orange Choco,22-09-2023,"$4,545 ",354
Ches Bonnell,USA ,70% Dark Bites,27-02-2024,"$1,017 ",335
Camilla Castle,Australia,70% Dark Bites,12-06-2023,$531 ,229
Ches Bonnell,New Zealand   ,Choco Coated Almonds,27-04-2023,"$1,607 ",391
Roddy Speechley,Canada  ,Organic Choco Syrup,01-02-2023,"$9,230 ",441
Karlen McCaffrey,Canada   ,Spicy Special Slims,19-04-2023,"$4,896 ",464
Kaine Padly,UK   ,Caramel Stuffed Bars,20-11-2023,"$3,695 ",24
Beverie Moffet,USA  ,Peanut Butter Cubes,04-05-2023,"$15,806 ",681
Oby Sorrel,India   ,50% Dark Bites,05-12-2023,$135 ,1048
Wilone O'Kielt,USA   ,Smooth Silky Salty,26-04-2023,"$2,464 ",183
Kelci Walkden,New Zealand ,Manuka Honey Choco,03-01-2024,"$8,971 ",268
Gunar Cockshoot,UK ,Milk Bars,23-08-2023,"$2,862 ",33
Gigi Bohling,Australia ,White Choc,25-05-2023,"$1,787 ",117
Oby Sorrel,India,Eclairs,06-02-2023,"$5,690 ",78
Gunar Cockshoot,Australia  ,50% Dark Bites,13-04-2023,"$1,125 ",952
Ches Bonnell,Canada ,White Choc,05-06-2023,"$2,693 ",101
Jan Morforth,Australia ,Fruit & Nut Bars,18-09-2023,"$6,656 ",199
Dotty Strutley,Australia ,Caramel Stuffed Bars,30-10-2023,"$12,364 ",144
Roddy Speechley,Canada,Choco Coated Almonds,10-04-2023,$392 ,324
Oby Sorrel,UK   ,Drinking Coco,11-01-2024,"$7,616 ",1079
Camilla Castle,Australia,Milk Bars,30-10-2023,"$3,924 ",41
Gigi Bohling,Canada   ,85% Dark Bars,08-06-2023,"$5,265 ",119
Gunar Cockshoot,New Zealand,Milk Bars,09-02-2024,"$10,708 ",5
Gunar Cockshoot,USA,Spicy Special Slims,11-07-2023,"$1,352 ",419
Karlen McCaffrey,Canada ,99% Dark & Pure,20-12-2023,"$4,325 ",96
Curtice Advani,Australia,Orange Choco,06-10-2023,"$15,352 ",796
Gunar Cockshoot,India   ,Drinking Coco,13-09-2023,"$5,510 ",475
Brien Boise,India   ,Peanut Butter Cubes,19-12-2023,"$6,062 ",634
Madelene Upcott,UK,Milk Bars,06-02-2023,"$2,365 ",316
Jehu Rudeforth,New Zealand   ,99% Dark & Pure,08-08-2023,"$3,503 ",248
Madelene Upcott,Canada ,Almond Choco,20-03-2023,"$10,744 ",31
Oby Sorrel,USA,Almond Choco,01-12-2023,"$5,906 ",290
Jan Morforth,UK   ,Smooth Silky Salty,07-06-2023,"$2,970 ",466
Barr Faughny,Canada ,Milk Bars,21-03-2023,$880 ,473
Husein Augar,Australia,85% Dark Bars,17-08-2023,"$4,298 ",208
Husein Augar,New Zealand,Mint Chip Choco,14-08-2023,"$1,256 ",72
Beverie Moffet,New Zealand  ,Smooth Silky Salty,14-08-2023,"$12,773 ",402
Dotty Strutley,Canada ,Raspberry Choco,18-12-2023,"$8,658 ",934
Husein Augar,India   ,Eclairs,16-01-2024,"$3,920 ",111
Rafaelita Blaksland,USA  ,Caramel Stuffed Bars,01-12-2023,"$2,086 ",77
Karlen McCaffrey,USA   ,Eclairs,27-10-2023,$815 ,34
Husein Augar,India  ,Fruit & Nut Bars,13-10-2023,"$12,292 ",379
Curtice Advani,Australia  ,Choco Coated Almonds,02-08-2023,"$2,045 ",193
Kelci Walkden,Canada,Eclairs,02-05-2023,"$10,564 ",402
Madelene Upcott,New Zealand   ,Almond Choco,13-02-2023,"$5,227 ",290
Kelci Walkden,Canada ,85% Dark Bars,22-08-2023,"$7,211 ",301
Andria Kimpton,India,Eclairs,25-09-2023,"$4,023 ",217
Rafaelita Blaksland,USA  ,Choco Coated Almonds,28-02-2024,"$4,662 ",261
Marney O'Breen,Canada ,85% Dark Bars,20-03-2023,"$3,152 ",208
Marney O'Breen,India ,Almond Choco,06-03-2023,"$3,155 ",41
Beverie Moffet,Canada,Choco Coated Almonds,06-02-2023,"$8,019 ",71
Kelci Walkden,India,Eclairs,14-08-2023,"$5,713 ",173
Marney O'Breen,New Zealand  ,Drinking Coco,05-12-2023,"$5,580 ",163
Rafaelita Blaksland,Australia,Peanut Butter Cubes,10-10-2023,"$3,672 ",114
Camilla Castle,UK   ,Orange Choco,29-09-2023,"$2,153 ",1157
Camilla Castle,Canada   ,Manuka Honey Choco,02-02-2023,$344 ,28
Dotty Strutley,Canada,Manuka Honey Choco,16-10-2023,"$15,172 ",113
Curtice Advani,UK   ,Smooth Silky Salty,15-05-2023,"$12,904 ",443
Jehu Rudeforth,UK   ,Baker's Choco Chips,20-09-2023,"$9,428 ",135
Kaine Padly,Canada ,Drinking Coco,14-02-2023,"$2,644 ",339
Karlen McCaffrey,New Zealand  ,Almond Choco,02-05-2023,"$3,200 ",307
Dennison Crosswaite,USA ,99% Dark & Pure,06-09-2023,"$1,510 ",753
Andria Kimpton,Australia ,Organic Choco Syrup,24-05-2023,$585 ,242
Roddy Speechley,USA,Smooth Silky Salty,20-10-2023,"$2,646 ",552
Marney O'Breen,UK  ,Almond Choco,21-09-2023,"$1,845 ",254
